year,season,date,habitat,night,web,trap,recap,spp,sex,age,weight,repro,recond,incomplete,marked,dead,closed,newborn
1995,F,1995-10-25,JC,2,1,10,Y,NEAL,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,1,12,N,ONAR,F,A,17,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,1,33,N,DIME,M,A,38,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,1,42,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,1,43,N,CHPE,NA,NA,23,N,NA,Y,M,NA,NA,NA
1995,F,1995-10-25,JC,2,1,44,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,1,45,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,1,47,N,ONAR,F,A,18,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,1,49,Y,ONAR,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,1,49,Y,ONAR,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,1,55,N,NEAL,NA,J,85,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,1,59,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,1,60,N,DIME,M,A,46,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,1,69,N,SIHI,NA,NA,0,NA,NA,Y,U,NA,NA,NA
1995,F,1995-10-25,JC,2,1,71,N,DIME,F,A,51,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,1,72,N,DIME,F,A,34,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,1,81,N,DIME,M,A,39,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,1,90,N,ONAR,F,A,17,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,1,94,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,1,105,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,1,108,N,NEAL,M,A,145,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,1,140,N,DIME,F,A,44,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,1,143,N,PELE,NA,A,27,N,NA,Y,M,NA,NA,NA
1995,F,1995-10-25,JC,2,2,4,Y,NEAL,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,9,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,11,N,DIME,F,A,41,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,26,N,PELE,M,A,18,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,36,N,ONAR,M,A,19,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,36,Y,ONAR,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,42,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,45,N,DIME,F,A,39,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,47,N,DIME,F,A,44,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,48,N,SPSP,M,A,102,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,55,N,ONAR,F,A,20,N,NA,NA,NA,NA,NA,NA
1995,F,1995-10-25,JC,2,2,58,Y,DIME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
