species_code,genus,species
DIME,Dipodomys,merriami
PELE,Peromyscus,leucopus
REME,Reithrodontomys,megalotis
NEAL,Neotoma,leucodon
ONAR,Onychomys,arenicola
CHPE,Chaetodipus,eremicus
SIHI,Sigmodon,hispidus
SPSP,Xerospermophilus,spilosoma
PGFL,Perognathus,flavus
ONLE,Onychomys,leucogaster
DIOR,Dipodomys,ordii
DISP,Dipodomys,spectabilis
NEMI,Neotoma,micropus
PEER,Peromyscus,eremicus
PEBO,Peromyscus,boylii
PERO1,Peromyscus,NA
DIPO1,Dipodomys,NA
MUMU,Mus,musculus
PEMA,Peromyscus,maniculatus
