year,species,biomass_g
1995,arenicola,0.2913028204356118
1995,eremicus,0.011326860841423947
1995,flavus,0.011119822779769016
1995,hispidus,0.17850060768886328
1995,leucodon,2.733478087251672
1995,leucogaster,0.21483305966064584
1995,leucopus,0.13160774410774412
1995,megalotis,0.18062570145903478
1995,merriami,2.7693321961453248
1995,micropus,0.6330528610621203
1995,ordii,0.6636915176406308
1995,spilosoma,0.9731813199492326
1996,arenicola,0.6132690956539195
1996,eremicus,0.10194174757281553
1996,flavus,0.12231805057745918
1996,leucodon,5.904312668463612
1996,leucogaster,0.2864440795475278
1996,leucopus,0.23396932285821176
1996,megalotis,0.02709385521885522
1996,merriami,4.604819814520715
1996,micropus,1.5193268665490887
1996,ordii,7.105403306505578
1996,spectabilis,1.2841487726377478
1996,spilosoma,2.9890569112726437
1997,arenicola,0.6592642778279635
1997,eremicus,0.1925566343042071
1997,flavus,0.30023521505376344
1997,hispidus,0.7586275826776689
1997,leucodon,6.997703903364281
1997,leucogaster,0.7399805388311135
1997,leucopus,0.5410540591096147
1997,megalotis,0.10837542087542087
1997,merriami,9.918073446660001
1997,micropus,3.0386537330981773
1997,ordii,12.219732060089262
1997,spectabilis,3.8524463179132438
1997,spilosoma,3.2671087169724244
1998,arenicola,0.2606393656529158
1998,eremicus,0.12459546925566344
1998,flavus,0.016679734169653525
1998,hispidus,0.3123760634555108
1998,leucodon,4.701582310072876
1998,leucogaster,0.7638508787934074
1998,leucopus,0.13160774410774412
1998,megalotis,0.03612514029180696
1998,merriami,6.18269513558026
1998,micropus,2.4056008720360573
1998,ordii,12.375894770122352
1998,spectabilis,3.393821756256905
1998,spilosoma,5.769574968270452
1999,arenicola,0.2606393656529158
1999,eremicus,0.05663430420711974
1999,hispidus,0.08925030384443164
1999,leucodon,5.904312668463612
1999,leucogaster,0.3103144195098218
1999,leucopus,0.02924616535727647
1999,megalotis,0.01806257014590348
1999,merriami,5.120044409152403
1999,micropus,0.7596634332745443
1999,ordii,5.504735528666409
1999,spectabilis,2.3848477206129606
1999,spilosoma,3.7536993769470404
2000,arenicola,0.3679614573923517
2000,eremicus,0.15857605177993528
2000,flavus,0.02779955694942254
2000,hispidus,0.9371281903665323
2000,leucodon,5.904312668463612
2000,leucogaster,0.7161101988688194
2000,leucopus,0.014623082678638235
2000,megalotis,0.02709385521885522
2000,merriami,7.406353547830521
2000,micropus,2.4056008720360573
2000,ordii,6.48075246637322
2000,spectabilis,2.2931228082816926
2000,spilosoma,3.4756475712472596
2001,arenicola,0.21464418347887182
2001,eremicus,0.06796116504854369
2001,flavus,0.05003920250896057
2001,hispidus,0.08925030384443164
2001,leucodon,4.92026055705301
2001,leucogaster,0.3819254393967037
2001,merriami,3.6387736995862987
2001,micropus,0.8862740054869684
2001,ordii,9.291681246968833
2001,spectabilis,1.6510484219628188
2001,spilosoma,2.641492154147917
2002,arenicola,0.1226538191307839
2002,eremicus,0.1925566343042071
2002,flavus,0.05003920250896057
2002,leucodon,0.8747129879205351
2002,leucogaster,0.21483305966064584
2002,merriami,2.543921435993961
2002,micropus,0.12661057221242406
2002,ordii,9.369762601985377
2002,spectabilis,1.2841487726377478
2002,spilosoma,1.807336737048575
2003,arenicola,0.06132690956539195
2003,eremicus,0.4644012944983819
2003,flavus,0.0722788480684986
2003,hispidus,0.04462515192221582
2003,leucogaster,0.26257373958523383
2003,leucopus,0.0877384960718294
2003,merriami,5.087842871987922
2003,ordii,5.856101626240861
2003,spectabilis,1.834498246625354
2003,spilosoma,0.4865906599746163
2004,arenicola,0.16864900130482785
2004,eremicus,1.0194174757281553
2004,flavus,0.0667189366786141
2004,leucodon,0.32801737047020063
2004,leucogaster,0.23870339962293982
2004,leucopus,0.014623082678638235
2004,merriami,3.8319829225731823
2004,ordii,2.9670914906287025
2004,spectabilis,2.1096729836191574
2004,spilosoma,1.807336737048575
2005,arenicola,0.1226538191307839
2005,boylii,0.011574074074074073
2005,eremicus,1.2912621359223302
2005,flavus,0.21127663281561132
2005,hispidus,0.9817533422887481
2005,leucodon,0.5466956174503343
2005,leucogaster,0.3103144195098218
2005,leucopus,0.23396932285821176
2005,merriami,3.2523552536125324
2005,micropus,0.2532211444248481
2005,ordii,3.6307830082693338
2005,spectabilis,1.1924238603064803
2005,spilosoma,1.7378237856236298
2005,NA,0.006944444444444444
2006,arenicola,0.13798554652213188
2006,eremicus,0.3284789644012945
2006,flavus,0.016679734169653525
2006,hispidus,0.9817533422887481
2006,leucodon,0.32801737047020063
2006,leucogaster,0.02387033996229398
2006,leucopus,0.07311541339319118
2006,maniculatus,0.07175925925925926
2006,merriami,3.574370625257338
2006,micropus,0.12661057221242406
2006,musculus,0.0787037037037037
2006,ordii,0.39040677508272403
2006,spectabilis,0.4586245616563385
2006,spilosoma,0.6951295142494519
2007,arenicola,0.4906152765231356
2007,eremicus,0.656957928802589
2007,flavus,0.4336730884109916
2007,hispidus,4.239389432610504
2007,leucodon,1.4214086053708694
2007,leucogaster,0.3819254393967037
2007,leucopus,0.9212542087542088
2007,merriami,2.898138344803247
2007,micropus,3.7983171663727218
2007,ordii,2.6547660705625233
2007,spectabilis,1.834498246625354
2007,spilosoma,0.34756475712472595
2007,NA,0.006944444444444444
