trap_check_date,year,month,day,genus,species,recapture,sex,age,mass_g,reprod_cond,web_trap_number,comments,rhf,body,tail
1991-03-16,1991,3,16,Dipodomys,merriami,Y,NA,A,NA,NA,71,NA,NA,NA,NA
1991-03-16,1991,3,16,Dipodomys,merriami,Y,NA,A,NA,NA,77,NA,NA,NA,NA
1991-03-16,1991,3,16,Dipodomys,merriami,Y,NA,A,NA,NA,91,NA,NA,NA,NA
1991-03-16,1991,3,16,Dipodomys,merriami,Y,NA,A,NA,NA,96,NA,NA,NA,NA
1991-03-16,1991,3,16,Dipodomys,merriami,Y,NA,A,NA,NA,98,NA,NA,NA,NA
1991-03-16,1991,3,16,Dipodomys,merriami,Y,F,A,NA,NA,119,NA,NA,NA,NA
1991-03-16,1991,3,16,Neotoma,albigula,N,F,A,NA,NA,94,NA,NA,NA,NA
1991-03-16,1991,3,16,Neotoma,albigula,N,F,A,NA,NA,108,NA,NA,NA,NA
1991-03-16,1991,3,16,Neotoma,albigula,Y,NA,A,NA,NA,112,NA,NA,NA,NA
1991-03-16,1991,3,16,Perognathus,amplus,N,F,A,NA,NA,76,ID tentative -- might be young C. pennicilatus?,NA,NA,NA
1991-03-16,1991,3,16,Perognathus,amplus,N,F,A,NA,NA,105,ID tentative -- might be young C. pennicilatus?,NA,NA,NA
1991-03-16,1991,3,16,Perognathus,amplus,N,M,A,NA,NA,NA,ID tentative -- might be young C. pennicilatus?,NA,NA,NA
1991-03-16,1991,3,16,Perognathus,amplus,Y,NA,A,NA,NA,121,ID tentative -- might be young C. pennicilatus?,NA,NA,NA
1992-03-20,1992,3,20,Chaetodipus,baileyi,N,M,A,25,ST,2,"Warm, sunny; full moon, clear last night.",NA,NA,NA
1992-03-20,1992,3,20,Chaetodipus,baileyi,N,F,A,26,NA,36,NA,NA,NA,NA
1992-03-20,1992,3,20,Chaetodipus,baileyi,N,M,A,33,ST,70,NA,NA,NA,NA
1992-03-20,1992,3,20,Chaetodipus,baileyi,N,M,A,28,ST,75,NA,NA,NA,NA
1992-03-20,1992,3,20,Chaetodipus,baileyi,N,F,A,26,NA,89,NA,NA,NA,NA
1992-03-20,1992,3,20,Chaetodipus,baileyi,N,F,A,24,NA,105,NA,NA,NA,NA
1992-03-20,1992,3,20,Chaetodipus,baileyi,N,F,A,24,NA,112,NA,NA,NA,NA
1992-03-20,1992,3,20,Chaetodipus,baileyi,N,F,A,25,NA,117,NA,NA,NA,NA
1992-03-20,1992,3,20,Chaetodipus,baileyi,N,M,A,34,ST,126,NA,NA,NA,NA
1992-03-20,1992,3,20,Chaetodipus,penicillatus,N,NA,A,14,NA,23,Sex not recorded.,NA,NA,NA
1992-03-20,1992,3,20,Chaetodipus,penicillatus,N,M,A,23,NA,24,NA,NA,NA,NA
1992-03-20,1992,3,20,Chaetodipus,penicillatus,N,M,A,20,ST,35,NA,NA,NA,NA
1992-03-20,1992,3,20,Chaetodipus,penicillatus,N,M,A,15,ST,40,NA,NA,NA,NA
1992-03-20,1992,3,20,Chaetodipus,penicillatus,N,M,A,21,ST,57,NA,NA,NA,NA
1992-03-20,1992,3,20,Chaetodipus,penicillatus,N,M,A,20,ST,69,NA,NA,NA,NA
1992-03-20,1992,3,20,Chaetodipus,penicillatus,N,M,A,18,ST,83,NA,NA,NA,NA
1992-03-20,1992,3,20,Chaetodipus,penicillatus,N,M,A,15,ST,115,NA,NA,NA,NA
1992-03-20,1992,3,20,Chaetodipus,penicillatus,N,F,A,18,NA,120,NA,NA,NA,NA
1992-03-20,1992,3,20,Chaetodipus,penicillatus,N,F,A,22,NA,127,NA,NA,NA,NA
1992-03-20,1992,3,20,Chaetodipus,penicillatus,N,M,A,21,ST,129,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,F,A,42,NA,1,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,M,A,44,ST,5,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,M,A,43,ST,6,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,M,A,45,ST,7,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,M,A,39,ST,8,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,F,A,42,NA,17,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,M,A,42,NA,19,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,F,A,44,NA,21,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,F,A,40,NA,29,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,F,A,39,NA,41,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,F,A,41,NA,46,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,M,A,39,NA,54,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,F,A,35,NA,56,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,F,A,40,NA,59,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,F,A,36,NA,65,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,F,A,41,LACT,67,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,M,A,45,ST,68,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,M,A,40,NA,79,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,F,A,42,LACT,84,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,M,A,41,ST,91,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,M,J,20,NA,92,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,F,A,41,NA,103,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,F,A,47,NA,107,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,M,A,42,ST,122,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,F,A,35,NA,130,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,F,SA,34,NA,139,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,M,A,39,NA,140,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,M,A,43,NA,141,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,M,A,38,ST,142,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,F,A,46,NA,143,NA,NA,NA,NA
1992-03-20,1992,3,20,Dipodomys,merriami,N,M,A,41,ST,144,NA,NA,NA,NA
1992-03-20,1992,3,20,Neotoma,albigula,N,M,SA,105,NA,124,NA,NA,NA,NA
1992-03-20,1992,3,20,Onychomys,torridus,N,F,A,19,NA,77,NA,NA,NA,NA
1992-03-20,1992,3,20,Perognathus,amplus,N,M,A,10,ST,108,NA,NA,NA,NA
1992-03-20,1992,3,20,Perognathus,amplus,N,M,A,9,NA,110,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,baileyi,N,F,A,34,NA,19,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,baileyi,N,M,A,26,ST,60,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,baileyi,N,F,A,24,NA,70,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,baileyi,N,M,A,39,ST,71,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,baileyi,N,M,A,27,NA,138,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,baileyi,Y,NA,NA,NA,NA,2,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,baileyi,Y,NA,NA,NA,NA,24,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,baileyi,Y,NA,NA,NA,NA,103,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,baileyi,Y,NA,NA,NA,NA,106,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,baileyi,Y,NA,NA,NA,NA,112,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,baileyi,Y,NA,NA,NA,NA,113,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,baileyi,Y,NA,NA,NA,NA,115,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,penicillatus,N,F,A,15,NA,5,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,penicillatus,N,F,SA,12,NA,7,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,penicillatus,N,M,A,17,ST,12,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,penicillatus,N,M,A,20,ST,22,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,penicillatus,N,M,A,17,ST,23,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,penicillatus,N,M,A,15,ST,40,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,penicillatus,N,M,A,19,ST,55,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,penicillatus,N,F,A,16,NA,58,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,penicillatus,N,M,A,19,ST,59,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,penicillatus,N,F,A,13,NA,81,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,penicillatus,N,F,A,20,NA,84,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,penicillatus,N,M,A,17,ST,92,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,penicillatus,N,M,A,18,ST,95,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,penicillatus,N,M,A,15,ST,118,NA,NA,NA,NA
1992-03-21,1992,3,21,Chaetodipus,penicillatus,N,M,A,20,ST,119,NA,NA,NA,NA
